index2,label2
1,universities
2,dem_dist (gender); text
3,MH buzzwords
4,instagram; disclosure and online discussion
5,public vs. private platforms
6,platforms as support/community
7,research buzzwords; MH buzzwords
8,MH buzzwords; SM platforms
9,dem_dist (nationality/ethnicity)
10,dem_dist from survey; data collection
11,MH buzzwords; research buzzwords
12,text modeling
13,MH buzzwords
14,research buzzwords; dem_dist
15,15dem_dist; MH buzzwords
16,modeling
17,results
18,SM/internet as an info seeking/sharing tool
19,SM platforms and data collection; MH buzzwords
20,SM platforms and data collection
