n_topics,topic,word,p
2,0,abstract introduction,0.011268252
2,0,social medium,0.008765141
2,0,mental health,0.008737066
2,0,related work,0.0062602777
2,0,health information,0.0054324637
2,0,data collection,0.0054209176
2,0,introduction related,0.0037586896
2,0,medium data,0.003754834
2,0,visual theme,0.0037493757
2,0,introduction background,0.0037460586
2,1,mental health,0.012411875
2,1,abstract introduction,0.00870462
2,1,cultural difference,0.005068136
2,1,method data,0.005060317
2,1,expression mental,0.005057102
2,1,social support,0.005054824
2,1,linguistic difference,0.0050547468
2,1,data collection,0.005046251
2,1,related work,0.005039702
2,1,feature extraction,0.004149524
3,0,mental health,0.016523028
3,0,health information,0.009080601
3,0,abstract introduction,0.009074479
3,0,social support,0.007842901
3,0,cultural difference,0.0066163484
3,0,expression mental,0.006607376
3,0,linguistic difference,0.0066057527
3,0,related work,0.0053707114
3,0,health expression,0.005367937
3,0,data collection,0.005365723
3,1,abstract introduction,0.013140242
3,1,mental health,0.008036983
3,1,social medium,0.0067791585
3,1,data collection,0.006775619
3,1,introduction background,0.0067752413
3,1,method data,0.005513248
3,1,feature extraction,0.0055107353
3,1,medium data,0.005506274
3,1,related work,0.005497292
3,1,marker depression,0.0042334003
3,2,social medium,0.0076813125
3,2,abstract introduction,0.00767534
3,2,related work,0.0062451013
3,2,mental health,0.0062405383
3,2,visual theme,0.006237735
3,2,category marker,0.004799854
3,2,machine classifier,0.0047998093
3,2,automatic machine,0.0047997604
3,2,marker automatic,0.004799685
3,2,gender culture,0.0047995774
4,0,abstract introduction,0.01451849
4,0,method data,0.008512066
4,0,data collection,0.0085081
4,0,introduction background,0.00650955
4,0,feature extraction,0.0065068696
4,0,marker depression,0.006506844
4,0,analysis topic,0.006505704
4,0,analysis linguistic,0.0065050386
4,0,analysis discussion,0.004507846
4,0,study method,0.004505357
4,1,mental health,0.026614415
4,1,linguistic difference,0.010559059
4,1,cultural difference,0.009105361
4,1,health expression,0.009102669
4,1,expression mental,0.009102332
4,1,social medium,0.006193124
4,1,related work,0.0047383006
4,1,brown clustering,0.0047337757
4,1,health linguistic,0.004733369
4,1,clinical language,0.0047333133
4,2,health information,0.011211477
4,2,abstract introduction,0.009414658
4,2,data collection,0.0076241056
4,2,direction conclusion,0.0058302945
4,2,future direction,0.005830064
4,2,related work,0.005828961
4,2,machine classifier,0.005828676
4,2,implication future,0.005828671
4,2,category marker,0.0058286325
4,2,marker automatic,0.0058285818
4,3,abstract introduction,0.013292935
4,3,related work,0.00963163
4,3,social support,0.009623048
4,3,visual theme,0.00778927
4,3,discussion conclusion,0.0059587597
4,3,introduction related,0.005958471
4,3,data collection,0.005957175
4,3,rq result,0.005956334
4,3,mental health,0.0059510516
4,3,machine learning,0.0041256887
5,0,health information,0.013151625
5,0,social support,0.011324782
5,0,data collection,0.009502902
5,0,abstract introduction,0.009498543
5,0,method data,0.007674917
5,0,visual theme,0.007671664
5,0,related work,0.005846449
5,0,machine classifier,0.0058455444
5,0,twitter use,0.005845341
5,0,automatic machine,0.005845314
5,1,social medium,0.00959933
5,1,medium data,0.009596515
5,1,abstract introduction,0.0065995576
5,1,analysis linguistic,0.0065991697
5,1,linguistic measure,0.006597968
5,1,measuring post,0.0065975594
5,1,post volume,0.0065975543
5,1,model analysis,0.0065975236
5,1,measure ngram,0.0065974863
5,1,content analysis,0.0065974356
5,2,mental health,0.015222836
5,2,abstract introduction,0.01191293
5,2,related work,0.008604618
5,2,social medium,0.0069499416
5,2,feature extraction,0.005295139
5,2,discussion conclusion,0.0052947486
5,2,introduction related,0.005294243
