n_topics,topic,word,p
2,0,word,0.025205197
2,0,topic,0.014269055
2,0,used,0.011422125
2,0,post,0.01022082
2,0,user,0.008933064
2,0,wa,0.007787382
2,0,tweet,0.006187407
2,0,category,0.0056247436
2,0,number,0.0056205676
2,0,feature,0.00475314
2,1,user,0.019441772
2,1,tweet,0.013314731
2,1,mental,0.010313032
2,1,health,0.00799661
2,1,analysis,0.00785123
2,1,used,0.0067882393
2,1,language,0.0066182315
2,1,data,0.006506415
2,1,depression,0.0064808996
2,1,identity,0.006367185
3,0,tweet,0.019796034
3,0,user,0.01733994
3,0,used,0.014884593
3,0,word,0.01488443
3,0,depression,0.009491897
3,0,data,0.008014206
3,0,number,0.007528829
3,0,wa,0.007524676
3,0,feature,0.007035495
3,0,score,0.0065509668
3,1,user,0.017453514
3,1,word,0.01337588
3,1,post,0.0125690065
3,1,mental,0.0106706
3,1,tweet,0.008769022
3,1,used,0.007956433
3,1,health,0.0076876627
3,1,analysis,0.007415882
3,1,identity,0.0074137086
3,1,use,0.0066041052
3,2,topic,0.02241767
3,2,word,0.0141906245
3,2,one,0.008866864
3,2,measure,0.007901414
3,2,social,0.00741652
3,2,user,0.00740533
3,2,journal,0.0069269985
3,2,matrix,0.0059781484
3,2,post,0.0059634554
3,2,first,0.0054821456
4,0,tweet,0.024744373
4,0,user,0.018237032
4,0,used,0.014128439
4,0,word,0.013102058
4,0,depression,0.01207341
4,0,feature,0.011045582
4,0,post,0.010360294
4,0,twitter,0.007962102
4,0,wa,0.0069360575
4,0,use,0.006593692
4,1,user,0.01813631
4,1,identity,0.018122658
4,1,mental,0.015467225
4,1,analysis,0.014135961
4,1,cultural,0.014131336
4,1,health,0.010145647
4,1,language,0.010144282
4,1,use,0.009482283
4,1,disorder,0.008814584
4,1,country,0.0081473095
4,2,user,0.018257765
4,2,one,0.011466089
4,2,data,0.01072919
4,2,word,0.010706183
4,2,topic,0.010680992
4,2,used,0.006959063
4,2,wa,0.0062127984
4,2,language,0.0062069334
4,2,mental,0.006206322
4,2,measure,0.006205511
4,3,word,0.023638142
4,3,topic,0.019245205
4,3,post,0.009426863
4,3,matrix,0.0074641015
4,3,image,0.0074634636
4,3,journal,0.0069746925
4,3,category,0.0060023977
4,3,used,0.005020279
4,3,number,0.005018482
4,3,user,0.005018064
5,0,tweet,0.027876282
5,0,user,0.022942403
5,0,depression,0.015542242
5,0,feature,0.011783709
5,0,twitter,0.009374278
5,0,used,0.00927729
5,0,post,0.008626467
5,0,word,0.006907644
5,0,wa,0.006887754
5,0,based,0.0068877484
5,1,word,0.024414629
5,1,tweet,0.021985857
5,1,used,0.019704375
5,1,user,0.013104072
5,1,feature,0.010752758
5,1,health,0.01009079
5,1,use,0.009126971
5,1,topic,0.009056202
5,1,rank,0.0090488605
5,1,number,0.0082538035
5,2,word,0.015271912
5,2,post,0.014265698
5,2,category,0.009240656
5,2,rmn,0.008233099
5,2,time,0.007231792
5,2,comment,0.007229706
5,2,table,0.0062281736
5,2,vector,0.006226663
5,2,unigrams,0.006225398
5,2,relationship,0.0062253643
5,3,user,0.0141311865
5,3,data,0.013257919
5,3,image,0.013255144
5,3,post,0.010646569
5,3,measure,0.01064274
5,3,wa,0.009768286
5,3,used,0.008884376
5,3,analysis,0.007152365
5,3,celebrity,0.007149011
5,3,comment,0.0062819505
5,4,topic,0.01832494
5,4,word,0.016536541
5,4,user,0.014390319
5,4,mental,0.011166626
5,4,identity,0.009733758
5,4,cultural,0.008660006
5,4,health,0.008302985
5,4,analysis,0.007945369
5,4,language,0.00794481
5,4,one,0.007587353
6,0,post,0.0117211845
6,0,word,0.010066538
6,0,table,0.008410397
6,0,category,0.007582889
6,0,time,0.006756295
6,0,celebrity,0.0067554493
6,0,selfdisclosure,0.006754928
6,0,mental,0.005930889
6,0,find,0.005928655
6,0,two,0.0059286295
6,1,tweet,0.01699547
6,1,user,0.014408044
6,1,score,0.01053946
6,1,character,0.010539409
6,1,depression,0.0105347745
6,1,schizophrenic,0.007958408
6,1,value,0.007958186
6,1,data,0.007957902
6,1,image,0.007954715
6,1,number,0.00666932
6,2,rank,0.019151246
6,2,twitter,0.012292962
6,2,relative,0.012291315
6,2,use,0.010579706
6,2,condition,0.010576576
6,2,search,0.0105759315
6,2,health,0.00886442
6,2,difference,0.008863347
6,2,term,0.008862476
6,2,searched,0.008860543
6,3,user,0.022066824
6,3,mental,0.014741707
6,3,identity,0.013000501
6,3,cultural,0.011552988
6,3,analysis,0.010129464
6,3,language,0.009946466
6,3,use,0.009423676
6,3,health,0.0092446385
6,3,measure,0.0075814617
6,3,post,0.0071277022
6,4,word,0.032030545
6,4,topic,0.026114047
6,4,tweet,0.022265311
6,4,user,0.020166954
6,4,used,0.016502848
6,4,depression,0.011172416
6,4,one,0.009656569
6,4,wa,0.00860982
6,4,feature,0.007756906
6,4,number,0.006048978
6,5,word,0.022803064
6,5,post,0.022787051
6,5,user,0.012774317
6,5,rmn,0.010240924
6,5,tweet,0.009024696
6,5,comment,0.0089871315
6,5,wa,0.007740802
6,5,data,0.007738633
6,5,vector,0.0077332505
6,5,number,0.0064827506
7,0,category,0.013313266
7,0,image,0.012003158
7,0,word,0.012001234
7,0,table,0.008063728
7,0,unigrams,0.008062367
7,0,eg,0.0067507853
7,0,time,0.006750695
7,0,mental,0.006749941
7,0,histogram,0.005439222
7,0,also,0.005438651
7,1,rank,0.018121937
7,1,word,0.016503582
7,1,use,0.016496187
7,1,relative,0.011616295
7,1,difference,0.009992785
7,1,health,0.009991801
7,1,twitter,0.009991779
7,1,term,0.009991126
7,1,search,0.009989768
7,1,condition,0.009989676
7,2,tweet,0.0333384
7,2,word,0.03289777
7,2,user,0.023332547
7,2,topic,0.021956624
7,2,used,0.018830754
7,2,depression,0.0115355905
7,2,number,0.010409135
7,2,wa,0.009933883
7,2,feature,0.008931694
7,2,journal,0.0073677986
7,3,item,0.012595361
7,3,depression,0.009570053
7,3,average,0.009556952
7,3,ddep,0.009554642
7,3,response,0.0065162983
7,3,figure,0.006516215
7,3,daily,0.006515581
7,3,show,0.0065149823
7,3,surveyassessed,0.006514498
7,3,user,0.003484542
7,4,user,0.02149517
7,4,identity,0.015294855
7,4,mental,0.01529458
7,4,analysis,0.013605666
7,4,cultural,0.011913535
7,4,health,0.010786973
7,4,data,0.009660218
7,4,used,0.0090973135
7,4,language,0.009096564
7,4,use,0.0090962155
7,5,survey,0.010653126
7,5,score,0.010652086
7,5,depression,0.010650974
7,5,data,0.008082482
7,5,cesd,0.008081064
7,5,participant,0.008079802
7,5,work,0.0055117095
7,5,also,0.0055115693
7,5,lower,0.0055111055
7,5,cutoff,0.005510451
7,6,post,0.015263457
7,6,user,0.013708288
7,6,word,0.012032936
7,6,measure,0.009537982
7,6,mental,0.008953579
7,6,social,0.008948613
7,6,health,0.00754711
7,6,topic,0.0075456463
7,6,one,0.0071408856
7,6,two,0.0070472793
8,0,image,0.016251337
8,0,value,0.013599063
8,0,used,0.010962367
8,0,hue,0.010944649
8,0,measure,0.008294922
8,0,indicate,0.008292603
8,0,saturation,0.008291545
8,0,face,0.0082913255
8,0,photograph,0.008291214
8,0,user,0.0056585628
8,1,tweet,0.046254113
8,1,user,0.032272164
8,1,word,0.031520374
8,1,used,0.023720246
8,1,feature,0.017943483
8,1,depression,0.016870163
